PROJECT	TIMEPOINT	proj_min_commit_fraction	proj_max_commit_fraction
AES	2020020404	1.0	1.0
AES	2020020405	1.0	1.0
AES	2020020406	1.0	1.0
AES	2020020407	1.0	1.0
AES	2020020408	1.0	1.0
AES	2020020409	1.0	1.0
AES	2020020410	1.0	1.0
AES	2020020411	1.0	1.0
AES	2020020412	1.0	1.0
AES	2020020413	1.0	1.0
AES	2020020414	1.0	1.0
AES	2020020415	1.0	1.0
AES	2020020416	1.0	1.0
AES	2020020417	1.0	1.0
AES	2020020418	1.0	1.0
AES	2020020419	1.0	1.0
AES	2020020420	1.0	1.0
AES	2020020421	1.0	1.0
AES	2020020422	1.0	1.0
AES	2020020423	1.0	1.0
AES	2020020500	1.0	1.0
AES	2020020501	1.0	1.0
AES	2020020502	1.0	1.0
AES	2020020503	1.0	1.0
AES	2020020504	1.0	1.0
AES	2020020505	1.0	1.0
AES	2020020506	1.0	1.0
AES	2020020507	1.0	1.0
AES	2020020508	1.0	1.0
AES	2020020509	1.0	1.0
AES	2020020510	1.0	1.0
AES	2020020511	1.0	1.0
AES	2020020512	1.0	1.0
AES	2020020513	1.0	1.0
AES	2020020514	1.0	1.0
AES	2020020515	1.0	1.0
AES	2020020516	1.0	1.0
AES	2020020517	1.0	1.0
AES	2020020518	1.0	1.0
AES	2020020519	1.0	1.0
AES	2020020520	1.0	1.0
AES	2020020521	1.0	1.0
